"","Var1","Var2","Var3","Freq"
"329","Arterial_endothelial_cell","TLS1_boundaries_150","TLS2",0
"330","Pericytes","TLS1_boundaries_150","TLS2",0
"331","tCAF","TLS1_boundaries_150","TLS2",0
"332","mCAF","TLS1_boundaries_150","TLS2",0
"333","InfCAF","TLS1_boundaries_150","TLS2",0
"334","T_like Fibroblast","TLS1_boundaries_150","TLS2",0
"335","AT1_like Fibroblast","TLS1_boundaries_150","TLS2",0
"336","AT1","TLS1_boundaries_150","TLS2",0
"337","AT2","TLS1_boundaries_150","TLS2",0
"338","AT1_proliferation","TLS1_boundaries_150","TLS2",0
"339","Alveolar_Marcophage_like Epithelial","TLS1_boundaries_150","TLS2",0
"340","Tumor","TLS1_boundaries_150","TLS2",0
"341","B","TLS1_boundaries_300","TLS2",0
"342","Plasma","TLS1_boundaries_300","TLS2",0
"343","CD8_Teff","TLS1_boundaries_300","TLS2",0
"344","CD8_CTL","TLS1_boundaries_300","TLS2",0
"345","Mac_like CD8_CTL","TLS1_boundaries_300","TLS2",0
"346","Epi_like CD8_Teff","TLS1_boundaries_300","TLS2",0
"347","Fb_like CD8_Teff","TLS1_boundaries_300","TLS2",0
"348","CD8_Exhausted","TLS1_boundaries_300","TLS2",0
"349","CD8_proliferation","TLS1_boundaries_300","TLS2",0
"350","Fb_like Mac_like Treg","TLS1_boundaries_300","TLS2",0
"351","Treg","TLS1_boundaries_300","TLS2",0
"352","Th17","TLS1_boundaries_300","TLS2",0
"353","monocytes","TLS1_boundaries_300","TLS2",0
"354","Alveolar_Marcophage","TLS1_boundaries_300","TLS2",0
"355","Interstital_Mph_perivascular","TLS1_boundaries_300","TLS2",0
"356","Alveolar_Mph_Proliferating","TLS1_boundaries_300","TLS2",0
"357","Epithelial_like Alveolar_Marcophage","TLS1_boundaries_300","TLS2",0
"358","cDC2","TLS1_boundaries_300","TLS2",0
"359","cDC3","TLS1_boundaries_300","TLS2",0
"360","pDC","TLS1_boundaries_300","TLS2",0
"361","mast_cell","TLS1_boundaries_300","TLS2",0
"362","Lymphatic_endothelial_cell","TLS1_boundaries_300","TLS2",0
"363","Arterial_endothelial_cell","TLS1_boundaries_300","TLS2",0
"364","Pericytes","TLS1_boundaries_300","TLS2",0
"365","tCAF","TLS1_boundaries_300","TLS2",0
"366","mCAF","TLS1_boundaries_300","TLS2",0
"367","InfCAF","TLS1_boundaries_300","TLS2",0
"368","T_like Fibroblast","TLS1_boundaries_300","TLS2",0
"369","AT1_like Fibroblast","TLS1_boundaries_300","TLS2",0
"370","AT1","TLS1_boundaries_300","TLS2",0
"371","AT2","TLS1_boundaries_300","TLS2",0
"372","AT1_proliferation","TLS1_boundaries_300","TLS2",0
"373","Alveolar_Marcophage_like Epithelial","TLS1_boundaries_300","TLS2",0
"374","Tumor","TLS1_boundaries_300","TLS2",0
"375","B","TLS1_boundaries_450","TLS2",0
"376","Plasma","TLS1_boundaries_450","TLS2",0
"377","CD8_Teff","TLS1_boundaries_450","TLS2",0
"378","CD8_CTL","TLS1_boundaries_450","TLS2",0
"379","Mac_like CD8_CTL","TLS1_boundaries_450","TLS2",0
"380","Epi_like CD8_Teff","TLS1_boundaries_450","TLS2",0
"381","Fb_like CD8_Teff","TLS1_boundaries_450","TLS2",0
"382","CD8_Exhausted","TLS1_boundaries_450","TLS2",0
"383","CD8_proliferation","TLS1_boundaries_450","TLS2",0
"384","Fb_like Mac_like Treg","TLS1_boundaries_450","TLS2",0
"385","Treg","TLS1_boundaries_450","TLS2",0
"386","Th17","TLS1_boundaries_450","TLS2",0
"387","monocytes","TLS1_boundaries_450","TLS2",0
"388","Alveolar_Marcophage","TLS1_boundaries_450","TLS2",0
"389","Interstital_Mph_perivascular","TLS1_boundaries_450","TLS2",0
"390","Alveolar_Mph_Proliferating","TLS1_boundaries_450","TLS2",0
"391","Epithelial_like Alveolar_Marcophage","TLS1_boundaries_450","TLS2",0
"392","cDC2","TLS1_boundaries_450","TLS2",0
"393","cDC3","TLS1_boundaries_450","TLS2",0
"394","pDC","TLS1_boundaries_450","TLS2",0
"395","mast_cell","TLS1_boundaries_450","TLS2",0
"396","Lymphatic_endothelial_cell","TLS1_boundaries_450","TLS2",0
"397","Arterial_endothelial_cell","TLS1_boundaries_450","TLS2",0
"398","Pericytes","TLS1_boundaries_450","TLS2",0
"399","tCAF","TLS1_boundaries_450","TLS2",0
"400","mCAF","TLS1_boundaries_450","TLS2",0
"401","InfCAF","TLS1_boundaries_450","TLS2",0
"402","T_like Fibroblast","TLS1_boundaries_450","TLS2",0
"403","AT1_like Fibroblast","TLS1_boundaries_450","TLS2",0
"404","AT1","TLS1_boundaries_450","TLS2",0
"405","AT2","TLS1_boundaries_450","TLS2",0
"406","AT1_proliferation","TLS1_boundaries_450","TLS2",0
"407","Alveolar_Marcophage_like Epithelial","TLS1_boundaries_450","TLS2",0
"408","Tumor","TLS1_boundaries_450","TLS2",0
"409","B","TLS2_boundaries_0","TLS2",0.319343065693431
"410","Plasma","TLS2_boundaries_0","TLS2",0.031021897810219
"411","CD8_Teff","TLS2_boundaries_0","TLS2",0.0145985401459854
"412","CD8_CTL","TLS2_boundaries_0","TLS2",0.268248175182482
"413","Mac_like CD8_CTL","TLS2_boundaries_0","TLS2",0.0127737226277372
"414","Epi_like CD8_Teff","TLS2_boundaries_0","TLS2",0.00364963503649635
"415","Fb_like CD8_Teff","TLS2_boundaries_0","TLS2",0.0328467153284672
"416","CD8_Exhausted","TLS2_boundaries_0","TLS2",0
"417","CD8_proliferation","TLS2_boundaries_0","TLS2",0.0255474452554745
"418","Fb_like Mac_like Treg","TLS2_boundaries_0","TLS2",0
"419","Treg","TLS2_boundaries_0","TLS2",0.0583941605839416
"420","Th17","TLS2_boundaries_0","TLS2",0.0456204379562044
