"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","celltype","change"
"BCAM",0.000145183697269103,-1.14881243837683,0.017,0.046,0.726063670042783,"BCAM","boundaries_0","stable"
"IMPDH2",0.000145778506076922,-0.570888032696791,0.08,0.135,0.729038308890687,"IMPDH2","boundaries_0","stable"
"CASS4",0.000149252053211074,1.93921250029877,0.061,0.02,0.746409518108579,"CASS4","boundaries_0","stable"
"TLK1",0.000153044467888018,-0.571965126978419,0.07,0.122,0.765375383907976,"TLK1","boundaries_0","stable"
"AIP",0.000155178090482188,-1.07806843544055,0.042,0.082,0.776045630501421,"AIP","boundaries_0","stable"
"AKAP11",0.000162749120174041,-0.623419543840587,0.103,0.164,0.813908349990379,"AKAP11","boundaries_0","stable"
"NFATC3",0.000162888126120273,-0.721849016416338,0.082,0.137,0.814603518727486,"NFATC3","boundaries_0","stable"
"NINJ1",0.000168960222993603,-2.09338678232446,0.009,0.031,0.844970075191007,"NINJ1","boundaries_0","stable"
"PPP2CA",0.000179973001153312,-0.821158465330936,0.059,0.106,0.900044978767712,"PPP2CA","boundaries_0","stable"
"ZFX",0.000183380785515086,-1.13867089075898,0.029,0.064,0.917087308360945,"ZFX","boundaries_0","stable"
"MLPH",0.000183803239774993,-1.37476400762273,0.009,0.031,0.919200002114742,"MLPH","boundaries_0","stable"
"IL33",0.000191629568641965,-2.57714647231593,0.004,0.02,0.958339472778466,"IL33","boundaries_0","stable"
"NDNF",0.000210940888962894,-1.84850891327232,0.007,0.027,1,"NDNF","boundaries_0","stable"
"CSNK2B",0.000220659847736821,-0.411325602559213,0.142,0.21,1,"CSNK2B","boundaries_0","stable"
"ADAMTS1",0.000221700284178136,2.64377203190132,0.056,0.018,1,"ADAMTS1","boundaries_0","stable"
"ATP1A1",0.000221830374285059,-0.676355362372632,0.098,0.155,1,"ATP1A1","boundaries_0","stable"
"AEBP1",0.000223236765426088,1.84797587326608,0.062,0.022,1,"AEBP1","boundaries_0","stable"
"NFKB2",0.000240492578844236,-0.603816236597417,0.117,0.177,1,"NFKB2","boundaries_0","stable"
"TBCK",0.000248952394656948,1.55955765440302,0.07,0.027,1,"TBCK","boundaries_0","stable"
"TOP2B",0.000250590887861054,-0.673085556831564,0.099,0.157,1,"TOP2B","boundaries_0","stable"
"CD27",0.000257179604010595,-0.971904794501255,0.059,0.104,1,"CD27","boundaries_0","stable"
"TMEM123",0.000269295177047361,-0.739431846895472,0.065,0.113,1,"TMEM123","boundaries_0","stable"
"HNRNPA1L2",0.000272892221290529,-0.307049139193298,0.446,0.531,1,"HNRNPA1L2","boundaries_0","stable"
"CAVIN2",0.000276193582532332,-1.88214518991436,0.003,0.018,1,"CAVIN2","boundaries_0","stable"
"SRSF1",0.000280351720600138,-0.40180023879969,0.162,0.234,1,"SRSF1","boundaries_0","stable"
"EWSR1",0.000307880884164964,-0.440446974061791,0.203,0.283,1,"EWSR1","boundaries_0","stable"
"CYBA",0.000309733039328903,-0.622768708723179,0.12,0.181,1,"CYBA","boundaries_0","stable"
"DAZAP1",0.000318669045145465,-0.72931877671659,0.071,0.12,1,"DAZAP1","boundaries_0","stable"
"GPBP1",0.000333315406466288,-0.569946187376905,0.074,0.124,1,"GPBP1","boundaries_0","stable"
"PLXNB2",0.000335606831628559,-0.498498865645432,0.092,0.148,1,"PLXNB2","boundaries_0","stable"
"CCT7",0.000336839836020087,-0.619059085292161,0.075,0.126,1,"CCT7","boundaries_0","stable"
"CD47",0.00034683503346376,-0.458531696156755,0.152,0.224,1,"CD47","boundaries_0","stable"
"CD28",0.000348635764291072,-0.891462896839665,0.039,0.077,1,"CD28","boundaries_0","stable"
"CD46",0.00036465125065405,-0.744949533870199,0.064,0.111,1,"CD46","boundaries_0","stable"
"KLRK1",0.000386176521949333,-1.01359492092823,0.028,0.06,1,"KLRK1","boundaries_0","stable"
"MMP9",0.000391989512692435,-1.01900634481543,0.043,0.082,1,"MMP9","boundaries_0","stable"
"DUX4",0.000398320027492343,1.35176866964614,0.109,0.06,1,"DUX4","boundaries_0","stable"
"IL18",0.00041012506953673,-0.50427541217014,0.022,0.051,1,"IL18","boundaries_0","stable"
"F11R",0.000412996913885811,-1.07975123029578,0.071,0.119,1,"F11R","boundaries_0","stable"
"ALDOA",0.000418575436621357,-0.792438608033706,0.039,0.077,1,"ALDOA","boundaries_0","stable"
"LY75",0.00044590302185395,-0.502760519059969,0.077,0.128,1,"LY75","boundaries_0","stable"
"EPCAM",0.000448742061240981,-0.918020856312615,0.026,0.057,1,"EPCAM","boundaries_0","stable"
"RHBDD2",0.000449603665413314,-0.76030125456651,0.034,0.069,1,"RHBDD2","boundaries_0","stable"
"CTSK",0.000456334814865741,1.66574190497848,0.082,0.038,1,"CTSK","boundaries_0","stable"
"GOLPH3",0.000462582725957121,-0.616291934887077,0.106,0.162,1,"GOLPH3","boundaries_0","stable"
