,class,cell
820,30,ocebbceg-1
821,30,hahgndgb-1
822,30,gpcgbpkf-1
823,30,cefgbhcj-1
824,30,glkbglio-1
825,30,gkjecmdh-1
826,30,bijehmlm-1
827,30,glapjogc-1
828,30,hbdlodhp-1
829,30,cfciggah-1
830,30,cejdkmep-1
831,30,gmcpimfe-1
832,30,gmdnhcjn-1
833,30,bjkbfali-1
834,30,glleembo-1
835,30,kccgehdc-1
836,30,bjgdmkln-1
837,30,bjaligee-1
838,30,glladnpi-1
839,30,gmkcelga-1
840,30,gpceejhd-1
841,30,hbadbdob-1
842,30,hekcaegp-1
843,30,halgepbi-1
844,30,glbejlpa-1
845,30,gljlgpmp-1
846,30,bjdcifpd-1
847,30,bjnoaldk-1
848,30,haliciki-1
849,30,bjejamkl-1
850,30,cfbjdmpm-1
851,30,glgjkglj-1
852,30,bijidloj-1
853,30,haonlfpf-1
854,30,gmccemlp-1
855,30,hbcmdgbn-1
856,30,bjegpkmk-1
857,30,hbemglbc-1
858,30,hbcpjcdi-1
859,30,haojafmk-1
860,30,cedlehhf-1
861,30,gldibjgn-1
862,30,gpfjdaji-1
863,30,ocdmhdoc-1
864,30,bjhdepki-1
865,30,gphehodl-1
866,30,hbbdimao-1
867,30,glnmldii-1
868,30,gkjffacb-1
869,30,gppanaaf-1
870,30,gpfgcdae-1
871,30,gldnfbhe-1
872,30,gpcoidlk-1
873,30,cfccjgph-1
874,30,cfcnbpel-1
875,30,glhkdcfm-1
876,30,hajnoiaf-1
877,30,glblgneo-1
878,30,gpdpgiin-1
879,30,gpgkddjp-1
880,30,gpdjcpng-1
881,30,hakcinip-1
882,30,cfbjcfin-1
883,30,gpeelbma-1
884,30,bjdedcnf-1
885,30,gliafogm-1
886,30,cfcdfmnj-1
887,30,gmjhlepe-1
888,30,gpgcgjol-1
889,30,gpcfdeha-1
890,30,ceoliclp-1
891,30,hbaglamg-1
892,30,bjhkapme-1
893,30,gpncpohd-1
894,30,gpikaemk-1
895,30,cejajmdk-1
896,30,cefiifhj-1
897,30,glhengoe-1
898,30,kbcajnpc-1
899,30,glamlddl-1
900,30,gleffpbd-1
901,30,gmfnoefj-1
902,30,gmdfaofa-1
903,30,gmedhdmf-1
904,30,gppgebhi-1
905,30,gpbbpaek-1
906,30,gmlmdcnl-1
907,30,gmcmipbf-1
908,30,gponmnii-1
909,30,hffgkdbb-1
910,30,gjbnidnm-1
911,30,gmhkpaob-1
912,30,heimbimm-1
913,30,cedebheo-1
914,30,cfacpipa-1
915,30,gpdbefjo-1
916,30,glpblhmn-1
917,30,gpabeaef-1
918,30,gmaocnnd-1
919,30,gmimmahi-1
920,30,gmcjbahi-1
921,30,cfheckko-1
922,30,gkilabib-1
923,30,glpbhjpe-1
924,30,gkjffdaj-1
925,30,hbdcpbmg-1
926,30,gmjadeal-1
927,30,cfgknmhd-1
928,30,bjegenpn-1
929,30,bjcpoajk-1
930,30,heipdllo-1
931,30,gmjgeepd-1
932,30,cednmmpn-1
933,30,gpnammak-1
934,30,gkipenbk-1
935,30,kamkmigc-1
936,30,glhkhpaj-1
937,30,gphccnpo-1
938,30,heiplahe-1
939,30,hekiodfj-1
940,30,hbbecmdh-1
941,30,gmgaeofg-1
942,30,bjbiagid-1
943,30,gpcmcmdj-1
944,30,bjefljko-1
945,30,kbackolc-1
946,30,gljmijfg-1
947,30,gpejjhdd-1
948,30,gmimmdhm-1
949,30,glbjapof-1
950,30,hekeapgk-1
951,30,gpnhplde-1
952,30,hbbpenil-1
953,30,glpeheip-1
954,30,gpblibhl-1
955,30,cedjhiba-1
956,30,hbeajlma-1
957,30,gldnppmo-1
958,30,kbagcpfc-1
959,30,kbbjenkk-1
960,30,bjflfddf-1
961,30,glglggjm-1
962,30,glhanfld-1
963,30,ochpjgbk-1
964,30,cfbpnojf-1
965,30,ocdnjdik-1
966,30,hbcikpom-1
967,30,kanabial-1
968,30,gmlkgiji-1
969,30,hbdegbhj-1
970,30,hbegnbaa-1
971,30,gpeffope-1
972,30,gpcinlle-1
973,30,glnmemob-1
974,30,gpjeamoh-1
975,30,hbdhinpi-1
976,30,glhemejp-1
977,30,glbkmihj-1
978,30,gmdjoeko-1
979,30,gphmooha-1
980,30,gppfphfj-1
981,30,glkodlab-1
982,30,glmgmdnh-1
983,30,kancmgkf-1
984,30,gpeekoon-1
985,30,gmanmnjf-1
986,30,hekgcpae-1
987,30,gpeanolk-1
988,30,hbbkclba-1
989,30,gmgpokjl-1
990,30,glbldnpd-1
991,30,gpnleiep-1
992,30,gpdlapbb-1
993,30,glodnkha-1
994,30,gkjcbjjc-1
995,30,kamibjfo-1
996,30,glmpoing-1
997,30,hbdmfgpl-1
998,30,gmfomkjj-1
999,30,kamfpagf-1
1000,30,cedknbhd-1
1001,30,gpgemfom-1
1002,30,kanjmngf-1
1003,30,gpefdpaf-1
1004,30,gmlliojo-1
1005,30,gloifoim-1
1006,30,hbagkeba-1
1007,30,gpnnboap-1
1008,30,gpgfkcad-1
1009,30,cedeglho-1
1010,30,haplpokk-1
1011,30,cfbjiepo-1
1012,30,gppiaodm-1
1013,30,glangebp-1
1014,30,ochcmfke-1
1015,30,gpbeffgj-1
1016,30,kamffjpn-1
1017,30,hbacjiaa-1
1018,30,gmjgogph-1
1019,30,gpcnafgn-1
1020,30,hbbnoaol-1
1021,30,glhdddee-1
1022,30,hajnlffm-1
1023,30,gmkecbmh-1
1024,30,glkbdmbk-1
1025,30,gmbidbgm-1
1026,30,gmjjbmkl-1
1027,30,gkhklcnm-1
1028,30,gmaphhnk-1
1029,30,glbpncoj-1
1030,30,gkifmpkd-1
1031,30,gmdpaefi-1
1032,30,hakdagii-1
1033,30,hbcmknih-1
1034,30,gpddghgh-1
1035,30,gpfcllab-1
1036,30,gmeaahhd-1
1037,30,glcipbna-1
1038,30,gmjpkfbj-1
1039,30,ocdmhihd-1
1040,30,kbcgaeib-1
1041,30,heilbjfo-1
1042,30,gldkjnng-1
1043,30,cfadakld-1
1044,30,gmkfphgj-1
