X,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,cluster,change
TXNRD1,0.00628625662880751,0.258860810041895,0.138,0.098,1,TXNRD1,CD8_Exhausted,stable
PSPC1,0.00631394076038091,0.36464742998184,0.127,0.09,1,PSPC1,CD8_Exhausted,stable
RHBDD2,0.00633428393777946,0.290575243188853,0.152,0.11,1,RHBDD2,CD8_Exhausted,stable
SEPTIN6,0.00635597139002,-0.509064235,0.144,0.183,1,SEPTIN6,CD8_Exhausted,stable
PDE4DIP,0.00640466034975593,0.545668609448878,0.127,0.092,1,PDE4DIP,CD8_Exhausted,stable
IMMT,0.00659357913493163,0.489248985128429,0.148,0.11,1,IMMT,CD8_Exhausted,stable
IFNGR1,0.00663514351290171,-0.631728582,0.088,0.122,1,IFNGR1,CD8_Exhausted,stable
CTNNB1,0.00672158243632051,-0.432942998,0.325,0.359,1,CTNNB1,CD8_Exhausted,stable
BCL11B,0.00681244200204454,0.315036688388371,0.111,0.076,1,BCL11B,CD8_Exhausted,stable
MMP14,0.00683293575405076,0.255335810930798,0.649,0.612,1,MMP14,CD8_Exhausted,stable
DLEU2,0.00692452836244958,-0.662010949,0.107,0.141,1,DLEU2,CD8_Exhausted,stable
PINK1,0.00699217589733928,-0.499759226,0.087,0.122,1,PINK1,CD8_Exhausted,stable
PABPC1L,0.00713536865913608,-0.641501219,0.103,0.138,1,PABPC1L,CD8_Exhausted,stable
FLOT2,0.00714135262821761,-0.352726809,0.145,0.188,1,FLOT2,CD8_Exhausted,stable
SRF,0.00745795245231909,-0.697104801,0.088,0.121,1,SRF,CD8_Exhausted,stable
SMN1,0.00754675427410314,-0.498939577,0.149,0.188,1,SMN1,CD8_Exhausted,stable
NFATC2,0.00755451288461979,0.531051740944731,0.114,0.08,1,NFATC2,CD8_Exhausted,stable
ATRX,0.00775328286022788,0.485311247977933,0.158,0.119,1,ATRX,CD8_Exhausted,stable
BCL3,0.00787313850944594,0.43561464901258,0.117,0.082,1,BCL3,CD8_Exhausted,stable
KPNB1,0.00793838774540238,-0.318168485,0.324,0.364,1,KPNB1,CD8_Exhausted,stable
MAPK3,0.00803070307320113,0.462051881211502,0.126,0.09,1,MAPK3,CD8_Exhausted,stable
NSUN2,0.0080387885902841,-0.375441449,0.089,0.124,1,NSUN2,CD8_Exhausted,stable
PRKAA1,0.0082100719148619,0.267522264754309,0.131,0.094,1,PRKAA1,CD8_Exhausted,stable
RC3H2,0.0082876872214006,0.518455412654342,0.158,0.119,1,RC3H2,CD8_Exhausted,stable
ALKBH5,0.00835640322077186,0.281876690794895,0.156,0.115,1,ALKBH5,CD8_Exhausted,stable
CKAP5,0.00837095574843261,-0.608643679,0.129,0.165,1,CKAP5,CD8_Exhausted,stable
JAK1,0.00910832009315851,0.348835304636769,0.141,0.104,1,JAK1,CD8_Exhausted,stable
IFNG,0.00913757360807999,-0.616823616,0.121,0.158,1,IFNG,CD8_Exhausted,stable
MAPK9,0.00925428047777459,0.394396576839378,0.126,0.09,1,MAPK9,CD8_Exhausted,stable
NSUN5,0.0095050635664822,-0.677667369,0.085,0.117,1,NSUN5,CD8_Exhausted,stable
CCT3,0.00961078034888989,-0.274831638,0.373,0.409,1,CCT3,CD8_Exhausted,stable
CDC20,0.00966550675336951,-0.577472138,0.095,0.128,1,CDC20,CD8_Exhausted,stable
TIMP2,0.00985495159410994,-0.297936654,0.388,0.42,1,TIMP2,CD8_Exhausted,stable
SLC2A1,0.0100078085081028,-0.432296201,0.153,0.192,1,SLC2A1,CD8_Exhausted,stable
AP1B1,0.0101528028864925,0.307503840935939,0.171,0.131,1,AP1B1,CD8_Exhausted,stable
MALT1,0.01034177495181,0.329044349459676,0.132,0.096,1,MALT1,CD8_Exhausted,stable
CUL3,0.0103946831739141,0.374310923932373,0.103,0.071,1,CUL3,CD8_Exhausted,stable
R3HDM2,0.0107122904984232,0.280955358296944,0.119,0.085,1,R3HDM2,CD8_Exhausted,stable
DAG1,0.0108164750027036,-0.590133445,0.081,0.113,1,DAG1,CD8_Exhausted,stable
LIPA,0.0108713112483974,0.40213834385262,0.2,0.16,1,LIPA,CD8_Exhausted,stable
